"","year","artist","track","time","week","rank","date"
"76",2000,"Destiny's Child","Jumpin' Jumpin'","3:48",1,74,2000-05-13
"77",2000,"Destiny's Child","Say My Name","4:31",1,83,1999-12-25
"78",2000,"Diffie, Joe","It's Always Somethin...","2:55",1,81,2000-08-12
"79",2000,"Diffie, Joe","The Quittin' Kind","3:23",1,98,2000-01-01
"80",2000,"Dion, Celine","That's The Way It Is","4:03",1,74,1999-11-13
"81",2000,"Dixie Chicks, The","Cold Day In July","5:12",1,80,2000-06-24
"82",2000,"Dixie Chicks, The","Cowboy Take Me Away","4:51",1,79,1999-11-27
"83",2000,"Dixie Chicks, The","Goodbye Earl","4:19",1,40,2000-03-18
"84",2000,"Dixie Chicks, The","Without You","3:32",1,80,2000-10-07
"85",2000,"Dr. Dre","Forgot About Dre","3:42",1,75,2000-01-22
"86",2000,"Dr. Dre","The Next Episode","2:38",1,78,2000-05-27
"87",2000,"Drama","Left, Right, Left","3:37",1,100,2000-02-12
"88",2000,"Dream","He Loves U Not","3:43",1,99,2000-09-30
"89",2000,"Eastsidaz, The","G'D Up","4:27",1,77,2000-01-08
"90",2000,"Eastsidaz, The","Got Beef","3:58",1,99,2000-07-01
"91",2000,"Eiffel 65","Blue","3:29",1,67,1999-12-11
"92",2000,"Elliott, Missy ""Misdemeanor""","Hot Boyz","3:51",1,36,1999-11-27
"93",2000,"Eminem","Stan","5:26",1,78,2000-11-04
"94",2000,"Eminem","The Real Slim Shady","4:42",1,70,2000-05-06
"95",2000,"Eminem","The Way I Am","4:40",1,87,2000-08-26
"96",2000,"En Vogue","Riddle","5:10",1,92,2000-06-17
"97",2000,"Estefan, Gloria","No Me Dejes De Quere...","3:25",1,77,2000-06-10
"98",2000,"Evans, Sara","Born To Fly","5:36",1,77,2000-10-21
"99",2000,"Eve","Got It All","3:48",1,89,2000-07-15
"100",2000,"Eve","Love Is Blind","3:51",1,94,2000-01-08
"101",2000,"Everclear","Wonderful","4:30",1,77,2000-07-08
"102",2000,"Fabian, Lara","I Will Love Again","3:43",1,91,2000-06-10
"103",2000,"Fatboy Slim","The Rockafeller Skan...","4:00",1,94,1999-11-13
"104",2000,"Filter","Take A Picture","4:23",1,91,1999-11-27
"105",2000,"Foo Fighters","Learn To Fly","3:55",1,80,1999-10-16
"106",2000,"Fragma","Toca's Miracle","3:22",1,99,2000-10-28
"107",2000,"Funkmaster Flex","Do You","4:14",1,92,2000-11-11
"108",2000,"Ghostface Killah","Cherchez LaGhost","3:04",1,98,2000-08-05
"109",2000,"Gill, Vince","Feels Like Love","4:13",1,82,2000-09-02
"110",2000,"Gilman, Billy","One Voice","4:07",1,86,2000-06-17
"111",2000,"Ginuwine","None Of Ur Friends B...","4:12",1,94,1999-12-11
"112",2000,"Ginuwine","The Best Man I Can B...","4:06",1,97,2000-01-08
"113",2000,"Goo Goo Dolls","Broadway","3:54",1,74,2000-04-22
"114",2000,"Gray, Macy","I Try","3:52",1,68,2000-02-19
"115",2000,"Griggs, Andy","She's More","3:19",1,81,2000-03-11
"116",2000,"Guy","Dancin'","4:08",1,46,1999-12-18
"117",2000,"Hanson","This Time Around","4:14",1,22,2000-04-22
"118",2000,"Hart, Beth","L.A. Song","3:47",1,99,1999-11-27
"119",2000,"Heatherly, Eric","Flowers On The Wall","3:16",1,95,2000-04-29
"120",2000,"Henley, Don","Taking You Home","4:08",1,79,2000-06-24
"121",2000,"Herndon, Ty","No Mercy","4:43",1,100,2000-03-18
"122",2000,"Hill, Faith","Breathe","4:04",1,81,1999-11-06
"123",2000,"Hill, Faith","Let's Make Love","4:11",1,83,2000-08-12
"124",2000,"Hoku","Another Dumb Blonde","3:47",1,69,2000-02-19
"125",2000,"Hollister, Dave","Can't Stay","6:17",1,84,2000-03-25
"126",2000,"Hot Boys","I Need A Hot Girl","4:16",1,77,2000-02-19
"127",2000,"Houston, Whitney","Could I Have This Ki...","3:54",1,74,2000-06-17
"128",2000,"Houston, Whitney","I Learned From The B...","4:18",1,83,2000-02-19
"129",2000,"Houston, Whitney","My Love Is Your Love","4:16",1,81,1999-09-04
"130",2000,"Houston, Whitney","Same Script, Differe...","4:45",1,71,2000-06-17
"131",2000,"IMx","Stay The Night","3:37",1,84,1999-10-09
"132",2000,"Ice Cube","You Can Do It","4:20",1,86,1999-12-04
"133",2000,"Ideal","Whatever","3:48",1,75,2000-06-10
"134",2000,"Iglesias, Enrique","Be With You","3:36",1,63,2000-04-01
"135",2000,"Iglesias, Enrique","Rhythm Divine","7:35",1,90,1999-12-04
"136",2000,"J-Shin","One Night Stand","4:34",1,96,1999-12-25
"137",2000,"Ja Rule","Between Me And You","4:05",1,85,2000-09-16
"138",2000,"Jackson, Alan","It Must Be Love","2:53",1,76,2000-06-24
"139",2000,"Jackson, Alan","Pop A Top","3:04",1,79,1999-11-13
"140",2000,"Jackson, Alan","www.memory","2:36",1,75,2000-11-04
"141",2000,"Jagged Edge","He Can't Love U","3:30",1,54,1999-12-11
"142",2000,"Jagged Edge","Let's Get Married","4:23",1,77,2000-05-06
"143",2000,"Janet","Doesn't Really Matte...","4:17",1,59,2000-06-17
"144",2000,"Jay-Z","Anything","3:41",1,72,2000-02-26
"145",2000,"Jay-Z","Big Pimpin'","3:55",1,69,2000-04-22
"146",2000,"Jay-Z","Do It Again (Put Ya ...","3:47",1,95,2000-01-15
"147",2000,"Jay-Z","Hey Papi","3:40",1,98,2000-08-12
"148",2000,"Jay-Z","I Just Wanna Love U ...","3:50",1,58,2000-10-28
"149",2000,"Jean, Wyclef","911","4:00",1,77,2000-10-07
"150",2000,"Joe","I Wanna Know","4:57",1,94,2000-01-01
"151",2000,"Joe","Treat Her Like A Lad...","4:12",1,77,2000-08-05
"152",2000,"John, Elton","Someday Out Of The B...","4:41",1,56,2000-04-22
"153",2000,"Jones, Donell","Where I Wanna Be","6:22",1,81,2000-04-22
"154",2000,"Jordan, Montell","Get It On.. Tonite","4:34",1,92,1999-10-23
"155",2000,"Juvenile","U Understand","3:51",1,85,2000-02-05
"156",2000,"Kandi","Don't Think I'm Not","3:50",1,66,2000-08-05
"157",2000,"Keith, Toby","Country Comes To Tow...","3:39",1,82,2000-08-05
"158",2000,"Keith, Toby","How Do You Like Me N...","3:29",1,77,2000-01-29
"159",2000,"Kelis","Caught Out There","4:09",1,84,1999-12-04
"160",2000,"Kenny G","Auld Lang Syne (The ...","7:50",1,89,1999-12-25
"161",2000,"Kid Rock","Only God Knows Why","5:27",1,63,2000-02-19
"162",2000,"Kravitz, Lenny","I Belong To You","4:17",1,78,2000-03-25
"163",2000,"Kumbia Kings","U Don't Love Me","3:50",1,81,2000-03-04
"164",2000,"LFO","I Don't Wanna Kiss Y...","5:00",1,63,2000-04-15
"165",2000,"LFO","West Side Story","3:27",1,96,2000-08-05
"166",2000,"LL Cool J","Imagine That","4:00",1,99,2000-08-12
"167",2000,"Larrieux, Amel","Get Up","4:02",1,100,2000-03-04
"168",2000,"Lawrence, Tracy","Lessons Learned","2:55",1,80,2000-01-29
"169",2000,"Levert, Gerald","Baby U Are","4:10",1,96,2000-08-19
"170",2000,"Levert, Gerald","Mr. Too Damn Good","4:06",1,84,2000-03-18
"171",2000,"Lil Bow Wow","Bounce With Me","3:22",1,48,2000-08-19
"172",2000,"Lil Wayne","Tha Block Is Hot","4:13",1,99,1999-12-04
"173",2000,"Lil' Kim","How Many Licks?","3:50",1,79,2000-11-25
"174",2000,"Lil' Kim","No Matter What They ...","4:12",1,80,2000-07-15
"175",2000,"Lil' Mo","Ta Da","4:17",1,100,2000-08-12
"176",2000,"Lil' Zane","Callin' Me","3:43",1,83,2000-07-29
"177",2000,"Limp Bizkit","N 2 Gether Now","3:55",1,94,1999-12-04
"178",2000,"Limp Bizkit","Re-Arranged","4:08",1,91,1999-12-04
"179",2000,"Limp Bizkit","Rollin'","4:04",1,77,2000-11-11
"180",2000,"Lonestar","Amazed","4:25",1,81,1999-06-05
"181",2000,"Lonestar","Smile","3:33",1,89,1999-12-18
"182",2000,"Lonestar","What About Now","3:30",1,78,2000-06-10
"183",2000,"Lopez, Jennifer","Feelin' Good","4:28",1,79,2000-02-19
"184",2000,"Loveless, Patty","That's The Kind Of M...","3:27",1,98,2000-09-16
"185",2000,"Lox","Ryde or Die, Chick","3:56",1,86,2000-03-18
"186",2000,"Lucy Pearl","Dance Tonight","3:45",1,80,2000-05-20
"187",2000,"Ludacris","What's Your Fantasy","4:16",1,89,2000-09-30
"188",2000,"M2M","Don't Say You Love M...","3:41",1,72,1999-11-20
"189",2000,"M2M","Mirror Mirror","3:19",1,87,2000-04-01
"190",2000,"Madison Avenue","Don't Call Me Baby","3:44",1,98,2000-07-08
"191",2000,"Madonna","American Pie","4:30",1,43,2000-02-19
"192",2000,"Madonna","Music","3:45",1,41,2000-08-12
"193",2000,"Martin, Ricky","Private Emotion","4:02",1,76,2000-03-11
"194",2000,"Martin, Ricky","Shake Your Bon-Bon","3:08",1,74,1999-11-20
"195",2000,"Martin, Ricky","She Bangs","4:02",1,38,2000-10-07
"196",2000,"Mary Mary","Shackles (Praise You...","3:12",1,90,2000-03-25
"197",2000,"Master P","Souljas","3:33",1,98,2000-11-18
"198",2000,"McBride, Martina","Love's The Only Hous...","5:13",1,79,2000-02-05
"199",2000,"McBride, Martina","There You Are","3:26",1,79,2000-09-09
"200",2000,"McEntire, Reba","I'll Be","4:23",1,89,2000-05-13
"201",2000,"McEntire, Reba","What Do You Say","3:26",1,88,1999-10-30
"202",2000,"McGraw, Tim","My Best Friend","4:33",1,85,1999-11-27
"203",2000,"McGraw, Tim","My Next Thirty Years","3:37",1,73,2000-10-21
"204",2000,"McGraw, Tim","Some Things Never Ch...","3:56",1,76,2000-05-13
"205",2000,"McKnight, Brian","Stay Or Let It Go","4:32",1,95,2000-02-26
"206",2000,"Messina, Jo Dee","Because You Love Me","3:50",1,83,2000-01-29
"207",2000,"Messina, Jo Dee","That's The Way","3:17",1,78,2000-06-24
"208",2000,"Metallica","I Disappear","4:26",1,86,2000-05-13
"209",2000,"Metallica","No Leaf Clover (Live...","5:43",1,86,2000-02-12
"210",2000,"Montgomery Gentry","Daddy Won't Sell The...","4:18",1,87,2000-03-04
"211",2000,"Montgomery, John Michael","The Little Girl","3:52",1,81,2000-09-09
"212",2000,"Moore, Chante","Straight Up","3:40",1,98,2000-10-28
"213",2000,"Moore, Mandy","I Wanna Be With You","4:12",1,69,2000-06-17
"214",2000,"Mumba, Samantha","Gotta Tell You","3:19",1,85,2000-09-09
"215",2000,"Musiq","Just Friends","4:02",1,89,2000-10-14
"216",2000,"Mya","Case Of The Ex (What...","3:50",1,72,2000-08-19
"217",2000,"Mya","The Best Of Me","4:12",1,85,2000-04-15
"218",2000,"Mystikal","Shake Ya Ass","4:46",1,97,2000-08-12
"219",2000,"N'Sync","Bye Bye Bye","3:15",1,42,2000-01-29
"220",2000,"N'Sync","It's Gonna Be Me","3:10",1,82,2000-05-06
"221",2000,"N'Sync","This I Promise You","4:23",1,68,2000-09-30
"222",2000,"Nas","You Owe Me","3:51",1,74,2000-03-25
"223",2000,"Nelly","(Hot S**t) Country G...","4:17",1,100,2000-04-29
"224",2000,"Next","Wifey","4:03",1,85,2000-05-27
"225",2000,"Nine Days","Absolutely (Story Of...","3:09",1,85,2000-05-06
"226",2000,"Nine Days","If I Am","4:18",1,68,2000-12-02
"227",2000,"No Doubt","Simple Kind Of Life","4:11",1,50,2000-07-01
"228",2000,"Nu Flavor","3 Little Words","3:54",1,97,2000-06-03
"229",2000,"Offspring, The","Original Prankster","3:42",1,74,2000-11-25
"230",2000,"Paisley, Brad","Me Neither","3:19",1,87,2000-05-13
"231",2000,"Paisley, Brad","We Danced","3:45",1,71,2000-10-14
"232",2000,"Papa Roach","Last Resort","3:19",1,75,2000-07-29
"233",2000,"Pearl Jam","Nothing As It Seems","5:20",1,49,2000-05-13
"234",2000,"Pink","Most Girls","4:06",1,85,2000-08-12
"235",2000,"Pink","There U Go","3:23",1,25,2000-03-04
"236",2000,"Price, Kelly","As We Lay","6:20",1,82,2000-07-15
"237",2000,"Price, Kelly","Love Sets You Free","3:46",1,92,2000-05-13
"238",2000,"Price, Kelly","You Should've Told M...","3:12",1,91,2000-09-23
"239",2000,"Profyle","Liar","3:57",1,52,2000-09-16
"240",2000,"Puff Daddy","Best Friend","5:33",1,65,2000-02-12
"241",2000,"Q-Tip","Breathe And Stop","4:06",1,71,2000-01-22
"242",2000,"R.E.M.","The Great Beyond","4:10",1,79,1999-12-25
"243",2000,"Rascal Flatts","Prayin' For Daylight","3:36",1,87,2000-05-06
"244",2000,"Raye, Collin","Couldn't Last A Mome...","3:40",1,91,2000-03-18
"245",2000,"Red Hot Chili Peppers","Californication","5:21",1,72,2000-07-29
"246",2000,"Red Hot Chili Peppers","Otherside","4:13",1,80,2000-02-12
"247",2000,"Rimes, LeAnn","Big Deal","3:03",1,71,1999-10-16
"248",2000,"Rimes, LeAnn","Can't Fight The Moon...","3:33",1,82,2000-09-09
"249",2000,"Rimes, LeAnn","I Need You","3:42",1,77,2000-05-27
"250",2000,"Rogers, Kenny","Buy Me A Rose","3:46",1,79,2000-03-11
"251",2000,"Ruff Endz","No More","3:56",1,76,2000-07-01
"252",2000,"Sammie","I Like It","4:09",1,85,2000-01-29
"253",2000,"Santana","Maria, Maria","4:18",1,15,2000-02-12
"254",2000,"Savage Garden","Crash And Burn","4:41",1,75,2000-04-08
"255",2000,"Savage Garden","I Knew I Loved You","4:07",1,71,1999-10-23
"256",2000,"SheDaisy","Deck The Halls","3:46",1,97,1999-12-25
"257",2000,"SheDaisy","I Will.. But","3:40",1,78,2000-07-15
"258",2000,"SheDaisy","This Woman Needs","3:20",1,82,2000-02-05
"259",2000,"Sheist, Shade","Where I Wanna Be","4:16",1,96,2000-11-11
"260",2000,"Shyne","Bad Boyz","4:22",1,94,2000-09-09
"261",2000,"Simpson, Jessica","I Think I'm In Love ...","3:32",1,63,2000-07-01
"262",2000,"Simpson, Jessica","Where You Are","3:51",1,73,2000-04-01
"263",2000,"Sisqo","Got To Get It","3:52",1,92,1999-11-20
"264",2000,"Sisqo","Incomplete","3:52",1,77,2000-06-24
"265",2000,"Sisqo","Thong Song","4:05",1,74,2000-01-29
"266",2000,"Sister Hazel","Change Your Mind","4:02",1,75,2000-07-15
"267",2000,"Smash Mouth","Then The Morning Com...","3:04",1,83,1999-10-30
"268",2000,"Smith, Will","Freakin' It","3:58",1,99,2000-02-12
"269",2000,"Son By Four","A Puro Dolor (Purest...","3:30",1,80,2000-04-08
"270",2000,"Sonique","It Feels So Good","3:48",1,67,2000-01-22
"271",2000,"SoulDecision","Faded","3:25",1,94,2000-07-08
"272",2000,"Spears, Britney","From The Bottom Of M...","4:30",1,76,2000-01-29
"273",2000,"Spears, Britney","Lucky","3:23",1,61,2000-08-12
"274",2000,"Spears, Britney","Oops!.. I Did It Aga...","3:30",1,67,2000-04-22
"275",2000,"Spencer, Tracie","Still In My Heart","4:11",1,95,2000-03-04
"276",2000,"Splender","I Think God Can Expl...","3:55",1,71,2000-06-10
"277",2000,"Sting","Desert Rose","3:52",1,98,2000-05-13
"278",2000,"Stone Temple Pilots","Sour Girl","4:16",1,79,2000-07-08
"279",2000,"Stone, Angie","No More Rain (In Thi...","4:42",1,86,1999-12-25
"280",2000,"Strait, George","Go On","3:48",1,71,2000-08-26
"281",2000,"Strait, George","The Best Day","3:24",1,73,2000-01-29
"282",2000,"Sugar Ray","Falls Apart","4:15",1,70,2000-01-15
"283",2000,"TLC","Dear Lie","4:36",1,63,2000-02-12
"284",2000,"Tamar","If You Don't Wanna L...","4:02",1,98,2000-03-25
"285",2000,"Tamia","Can't Go For That","3:38",1,90,2000-09-16
"286",2000,"Third Eye Blind","Deep Inside Of You","4:10",1,80,2000-09-02
"287",2000,"Third Eye Blind","Never Let You Go","3:57",1,65,2000-01-22
"288",2000,"Thomas, Carl","Emotional","4:31",1,77,2000-11-25
"289",2000,"Thomas, Carl","I Wish","3:50",1,75,2000-03-25
"290",2000,"Thomas, Carl","Summer Rain","4:57",1,82,2000-09-23
"291",2000,"Tippin, Aaron","Kiss This","2:53",1,74,2000-08-26
"292",2000,"Train","Meet Virginia","3:55",1,76,1999-10-09
"293",2000,"Trick Daddy","Shut Up","4:17",1,99,2000-05-20
"294",2000,"Trina","Pull Over","2:58",1,97,2000-09-09
"295",2000,"Tritt, Travis","Best Of Intentions","4:15",1,97,2000-08-19
"296",2000,"Tuesday","I Know","4:06",1,98,2000-12-30
"297",2000,"Urban, Keith","Your Everything","4:10",1,81,2000-07-15
"298",2000,"Usher","Pop Ya Collar","3:36",1,68,2000-11-04
"299",2000,"Vassar, Phil","Carlene","4:07",1,75,2000-03-04
"300",2000,"Vassar, Phil","Just Another Day In ...","3:54",1,81,2000-09-30
"301",2000,"Vertical Horizon","Everything You Want","4:01",1,70,2000-01-22
"302",2000,"Vertical Horizon","You're A God","3:45",1,64,2000-08-26
"303",2000,"Vitamin C","Graduation (Friends ...","4:23",1,81,2000-04-15
"304",2000,"Vitamin C","The Itch","3:30",1,86,2000-12-02
"305",2000,"Walker, Clay","Live, Laugh, Love","4:06",1,95,1999-12-04
"306",2000,"Walker, Clay","The Chain Of Love","5:03",1,73,2000-04-15
"307",2000,"Wallflowers, The","Sleepwalker","3:29",1,73,2000-10-28
"308",2000,"Westlife","Swear It Again","4:07",1,96,2000-04-01
"309",2000,"Williams, Robbie","Angels","3:56",1,85,1999-11-20
"310",2000,"Wills, Mark","Back At One","4:00",1,89,2000-01-15
"311",2000,"Worley, Darryl","When You Need My Lov...","3:35",1,98,2000-06-17
"312",2000,"Wright, Chely","It Was","3:51",1,86,2000-03-04
"313",2000,"Yankee Grey","Another Nine Minutes","3:10",1,86,2000-04-29
"314",2000,"Yearwood, Trisha","Real Live Woman","3:55",1,85,2000-04-01
"315",2000,"Ying Yang Twins","Whistle While You Tw...","4:19",1,95,2000-03-18
"316",2000,"Zombie Nation","Kernkraft 400","3:30",1,99,2000-09-02
"317",2000,"matchbox twenty","Bent","4:12",1,60,2000-04-29
"318",2000,"2 Pac","Baby Don't Cry (Keep...","4:22",2,82,2000-03-04
"319",2000,"2Ge+her","The Hardest Part Of ...","3:15",2,87,2000-09-09
"320",2000,"3 Doors Down","Kryptonite","3:53",2,70,2000-04-15
"321",2000,"3 Doors Down","Loser","4:24",2,76,2000-10-28
"322",2000,"504 Boyz","Wobble Wobble","3:35",2,34,2000-04-22
"323",2000,"98^0","Give Me Just One Nig...","3:24",2,39,2000-08-26
"324",2000,"A*Teens","Dancing Queen","3:44",2,97,2000-07-15
"325",2000,"Aaliyah","I Don't Wanna","4:15",2,62,2000-02-05
"326",2000,"Aaliyah","Try Again","4:03",2,53,2000-03-25
"327",2000,"Adams, Yolanda","Open My Heart","5:30",2,76,2000-09-02
"328",2000,"Adkins, Trace","More","3:05",2,84,2000-05-06
"329",2000,"Aguilera, Christina","Come On Over Baby (A...","3:38",2,47,2000-08-12
"330",2000,"Aguilera, Christina","I Turn To You","4:00",2,39,2000-04-22
"331",2000,"Aguilera, Christina","What A Girl Wants","3:18",2,51,1999-12-04
"332",2000,"Alice Deejay","Better Off Alone","6:50",2,65,2000-04-15
"333",2000,"Allan, Gary","Smoke Rings In The D...","4:18",2,78,2000-01-29
"334",2000,"Amber","Sexual","4:38",2,99,1999-07-24
"335",2000,"Anthony, Marc","My Baby You","3:59",2,76,2000-09-23
"336",2000,"Anthony, Marc","You Sang To Me","3:50",2,54,2000-03-04
"337",2000,"Avant","My First Love","4:28",2,62,2000-11-11
"338",2000,"Avant","Separated","4:13",2,32,2000-05-06
"339",2000,"BBMak","Back Here","3:35",2,86,2000-05-06
"340",2000,"Backstreet Boys, The","Shape Of My Heart","3:49",2,25,2000-10-21
"341",2000,"Backstreet Boys, The","Show Me The Meaning ...","3:54",2,62,2000-01-08
"342",2000,"Backstreet Boys, The","The One","3:46",2,50,2000-06-03
"343",2000,"Badu, Erkyah","Bag Lady","5:03",2,53,2000-08-26
"344",2000,"Baha Men","Who Let The Dogs Out","3:17",2,92,2000-07-29
"345",2000,"Barenaked Ladies","Pinch Me","3:46",2,76,2000-09-16
"346",2000,"Beenie Man","Girls Dem Sugar","4:17",2,72,2000-10-28
"347",2000,"Before Dark","Monica","4:04",2,87,2000-05-27
"348",2000,"Bega, Lou","Tricky Tricky ","3:23",2,74,2000-02-05
"349",2000,"Big Punisher","It's So Hard","3:25",2,87,2000-04-29
"350",2000,"Black Rob","Whoa!","4:04",2,59,2000-03-11
"351",2000,"Black, Clint","Been There","5:28",2,73,2000-02-26
"352",2000,"Blaque","Bring It All To Me","3:46",2,63,1999-10-30
"353",2000,"Blige, Mary J.","Deep Inside","5:26",2,80,1999-11-20
"354",2000,"Blige, Mary J.","Give Me You","5:00",2,94,2000-04-22
"355",2000,"Blink-182","All The Small Things","2:52",2,76,1999-12-11
"356",2000,"Bloodhound Gang","The Bad Touch","4:20",2,62,2000-03-25
"357",2000,"Bon Jovi","It's My Life","3:44",2,58,2000-08-19
"358",2000,"Braxton, Toni","He Wasn't Man Enough","4:21",2,55,2000-03-25
"359",2000,"Braxton, Toni","Just Be A Man About ...","4:10",2,69,2000-08-05
"360",2000,"Braxton, Toni","Spanish Guitar","4:24",2,98,2000-12-09
"361",2000,"Brock, Chad","A Country Boy Can Su...","3:54",2,75,2000-01-08
"362",2000,"Brock, Chad","Yes!","3:22",2,77,2000-04-15
"363",2000,"Brooks & Dunn","You'll Always Be Lov...","2:58",2,85,2000-06-17
"364",2000,"Brooks, Garth","Do What You Gotta Do","2:56",2,81,2000-02-26
"365",2000,"Byrd, Tracy","Put Your Hand In Min...","4:30",2,77,2000-02-05
"366",2000,"Cagle, Chris","My Love Goes On And ...","3:02",2,94,2000-10-28
"367",2000,"Cam'ron","What Means The World...","4:38",2,94,2000-10-21
"368",2000,"Carey, Mariah","Crybaby","5:19",2,34,2000-07-01
"369",2000,"Carey, Mariah","Thank God I Found Yo...","4:14",2,68,1999-12-18
